method,perturbation,stage,objective_idx,status,obj_value,elapsed_s
MILP,0,start,,start,,0.0
MILP,0,layer0_lb,0,optimal,-0.0143491226357614,0.0
MILP,0,layer0_lb,1,optimal,1.2901164692007467,0.0013134479522705078
MILP,0,layer0_lb,2,optimal,0.2970900641088352,0.0009999275207519531
MILP,0,layer0_lb,3,optimal,2.6229784568787347,0.002035379409790039
MILP,0,layer0_lb,4,optimal,0.11525837803713523,0.0005009174346923828
MILP,0,layer0_lb,5,optimal,1.3788711012630586,0.0018727779388427734
MILP,0,layer0_lb,6,optimal,0.4966539294092178,0.0010449886322021484
MILP,0,layer0_lb,7,optimal,-0.6572581724768067,0.001016855239868164
MILP,0,layer0_lb,8,optimal,0.4695992692889919,0.0014162063598632812
MILP,0,layer0_lb,9,optimal,-0.20010882296941224,0.0009779930114746094
MILP,0,layer0_lb,10,optimal,2.2838018871330914,0.0019843578338623047
MILP,0,layer0_lb,11,optimal,-1.0518215238812239,0.0009996891021728516
MILP,0,layer0_lb,12,optimal,-0.07194460749749287,0.0009968280792236328
MILP,0,layer0_lb,13,optimal,1.0157509979427055,0.0006201267242431641
MILP,0,layer0_lb,14,optimal,-2.3695233064474155,0.0012958049774169922
MILP,0,layer0_lb,15,optimal,-1.8766343102923244,0.002447843551635742
MILP,0,layer0_lb,16,optimal,3.4936324442839677,0.0016107559204101562
MILP,0,layer0_lb,17,optimal,-1.6709314811012712,0.0019156932830810547
MILP,0,layer0_lb,18,optimal,-1.0756764858153298,0.0019941329956054688
MILP,0,layer0_lb,19,optimal,2.5742139316892585,0.0
MILP,0,layer0_lb,20,optimal,1.0041113095789471,0.002936840057373047
MILP,0,layer0_lb,21,optimal,0.855252998357185,0.0009822845458984375
MILP,0,layer0_lb,22,optimal,-0.4256669246470164,0.0010194778442382812
MILP,0,layer0_lb,23,optimal,0.21361748351260895,0.0006792545318603516
MILP,0,layer0_lb,24,optimal,1.3039234524822632,0.0033190250396728516
MILP,0,layer0_lb,25,optimal,1.0194027304244095,0.0011167526245117188
MILP,0,layer0_lb,26,optimal,-0.39489353083229306,0.001110076904296875
MILP,0,layer0_lb,27,optimal,0.9173942504542707,0.0008783340454101562
MILP,0,layer0_lb,28,optimal,-0.8004586809176899,0.0008909702301025391
MILP,0,layer0_lb,29,optimal,-0.053094599905806394,0.0010669231414794922
MILP,0,layer0_lb,30,optimal,0.15860740648541188,0.002077341079711914
MILP,0,layer0_lb,31,optimal,1.0657910833256428,0.0011217594146728516
MILP,0,layer0_lb,32,optimal,2.8540109517831214,0.0019178390502929688
MILP,0,layer0_lb,33,optimal,2.098871637751492,0.0010154247283935547
MILP,0,layer0_lb,34,optimal,1.5246541282942643,0.0010077953338623047
MILP,0,layer0_lb,35,optimal,-0.2847639568156912,0.0006797313690185547
MILP,0,layer0_lb,36,optimal,1.1780982417856496,0.0009241104125976562
MILP,0,layer0_lb,37,optimal,3.1396908105300425,0.0014493465423583984
MILP,0,layer0_lb,38,optimal,1.8171961403773897,0.0008871555328369141
MILP,0,layer0_lb,39,optimal,-1.5851353678764488,0.001010894775390625
